"W","Q"
7.468,0.228
7.804,1.869
7.487,0.266
8.265,6.77
8.086,4.469
7.646,0.78133
7.454,0.16283
7.557,0.469
7.608,0.65033
7.986,3.06225
8.132,4.57
8.132,4.492
7.905,2.823
7.816,1.733
7.816,1.88367
7.816,1.81
7.816,1.835
8.595,12.06075
7.683,1.08775
7.683,1.027
7.595664,0.665
7.937955,2.874
8.433816,8.946
7.674,1.089
7.68,0.966188
8.083987,4.537226
8.174889,5.85
7.764846,1.509007
7.677,1.035824
7.601,0.695915
7.601,0.679932
7.608,0.7113
8.349,8.53
7.83,2.08
7.83,2.08
8.042,4.42
7.68,1.082
7.594,0.706
7.56,0.547
8.203,6.787
8.306,8.266
8.35,9.342
7.778,1.514
7.636,0.893
7.798,1.756
7.693,1.082
7.617,0.856
