W,Q
22.398,0.0026
22.431,0.0115
22.483,0.048
22.486,0.0671
22.52,0.164
22.528,0.12
22.541,0.188
22.554,0.192
22.559,0.173
22.585,0.362
22.623,0.401
22.639,0.59
22.642,0.702
22.642,0.67738
22.657,0.70357
22.66,0.706
22.661,0.703
22.678,0.774
22.689,0.759
22.736,1.638
22.761,1.428
22.761,1.42
22.776,1.897
22.8,1.852
22.813,2.4716
22.813,1.948
22.819,2.352
22.833,2.11
22.84,2.5985
22.863,2.952
22.87,2.766
22.905,3.59
22.908,3.35
22.945,4.33325
22.985,4.88
23.017,5.542
23.043,6.151
23.131,7.04
23.134,7.479
23.209,8.238
23.241,9.184
23.278,9.251
23.29,9.02
23.346,10.286
23.439,10.594
23.44,11.86
23.447,11.85
23.7,15.93
23.81,18.394
23.892,22.6
23.923,22.1
23.924,21.6
